EGUNAK-DÍAS,,ITSASGORA-PLEAMARES ,,,,URTARRILA 2019 ENERO,,,
hila-,aste-,GOIZEZ - MAÑANA,,,,ARRATSALDEZ - TARDE,,,
bete-,koak,,,,,,,,
,,Orduak,Nibel e. b. i. b.,,,Orduak,Nibel e. b. i. b.,,
koak,de la,Horas,Nivel s. b. v. e.,,,Horas,Nivel s. b. v. e.,,
del,se-,,,,,,,,
,,ord. min.,m.ak zm.ak,o. haz.,,ord. min.,m.ak zm.ak,o. haz.,
mes,mana,h. m.,mts. cs.,p. pul.,,h. m.,mts. cs.,p. pul.,
27,M,07 55 ,"3,38 ",11,1,20 24 ,"3,34 ",10 11,
28,,09 03 ,"3,09 ",10,1,21 40 ,"3,16 ",10,4
29,V,10 37 ,"2,96 ",9,8,23 09 ,"3,14 ",10,3
30,S,12 05 ,"3,04 ",9,11,— ,— ,— ,—
31,D,00 21 ,"3,27 ",10,8,13 03 ,"3,21 ",10,6
EGUNAK-DÍAS,,ITSASBEHERA-BAJAMARES ,,,,MARTXOA 2019 MARZO,,,
hila-,aste-,GOIZEZ - MAÑANA,,,,ARRATSALDEZ - TARDE,,,
bete-,koak,,,,,,,,
,,Orduak,Nibel e. b. i. b.,,,Orduak,Nibel e. b. i. b.,,
koak,de la,Horas,Nivel s. b. v. e.,,,Horas,Nivel s. b. v. e.,,
del,se-,,,,,,,,
,,ord. min.,m.ak zm.ak,o. haz.,,ord. min.,m.ak zm.ak,o. haz.,
mes,mana,h. m.,mts. cs.,p. pul.,,h. m.,mts. cs.,p. pul.,
1,V,06 01 ,"1,58 ",5,2,18 34 ,"1,58 ",5,2
2,S,07 07 ,"1,42 ",4,7,19 28 ,"1,39 ",4,6
3,D,07 55 ,"1,22 ",4,0,20 10 ,"1,19 ",3 10,
4,L,08 33 ,"1,02 ",3,4,20 45 ,"1,01 ",3,3
5,M,09 07 ,"0,86 ",2,9,21 18 ,"0,87 ",2 10,
6,,09 37 ,"0,75 ",2,5,21 48 ,"0,77 ",2,6
7,J,10 07 ,"0,68 ",2,2,22 18 ,"0,72 ",2,4
8,V,10 36 ,"0,67 ",2,2,22 48 ,"0,72 ",2,4
9,S,11 05 ,"0,70 ",2,3,23 19 ,"0,77 ",2,6
10,D,11 36 ,"0,79 ",2,7,23 52 ,"0,87 ",2 10,
11,L,12 10 ,"0,93 ",3,0,— ,— ,— ,—
12,M,00 28 ,"1,02 ",3,4,12 48 ,"1,11 ",3,7
13,M,01 12 ,"1,20 ",3,11,13 34 ,"1,32 ",4,3
14,,02 07 ,"1,39 ",4,6,14 35 ,"1,51 ",4 11,
15,V,03 22 ,"1,52 ",4,11,15 57 ,"1,60 ",5,2
